state,response,coverage,education,employmentstatus,gender,location_code,marital_status,policy_type,policy,renew_offer_type,sales_channel,vehicle_class,vehicle_size
Oregon,No,Basic,Bachelor,,F,Rural,Married,Corporate Auto,Corporate L2,Offer2,Branch,Four-Door Car,Medsize
Nevada,No,Basic,High School or Below,Not Working,M,Suburban,Married,Personal Auto,Personal L3,Offer2,Call Center,Two-Door Car,Medsize
California,No,Basic,College,Not Working,M,Suburban,Married,Personal Auto,Personal L2,Offer3,Call Center,SUV,Medsize
Oregon,No,Basic,College,,M,Urban,Married,Personal Auto,Personal L2,Offer2,Branch,Four-Door Car,Medsize
California,No,Premium,High School or Below,,F,Suburban,Married,Corporate Auto,Corporate L2,Offer1,Call Center,Four-Door Car,Small
Oregon,No,Basic,High School or Below,,M,Suburban,Single,Personal Auto,Personal L2,Offer1,Branch,Two-Door Car,Medsize
Washington,No,Extended,Bachelor,Not Working,F,Suburban,Divorced,Personal Auto,Personal L3,Offer4,Call Center,Four-Door Car,Medsize
Arizona,Yes,Basic,Bachelor,Not Working,M,Suburban,Divorced,Personal Auto,Personal L3,Offer1,Agent,Four-Door Car,Medsize
Nevada,No,Basic,Bachelor,,F,Suburban,Single,Corporate Auto,Corporate L3,Offer1,Branch,Four-Door Car,Medsize
California,No,Basic,Bachelor,Not Working,F,Suburban,Married,Corporate Auto,Corporate L2,Offer2,Branch,Four-Door Car,Medsize
Oregon,No,Basic,College,,M,Suburban,Married,Personal Auto,Personal L3,Offer2,Call Center,Four-Door Car,Large
California,No,Premium,Bachelor,,F,Suburban,Single,Personal Auto,Personal L3,Offer1,Agent,Four-Door Car,Small
Washington,No,Extended,Master,Not Working,F,Urban,Married,Corporate Auto,Corporate L1,Offer1,Branch,SUV,Medsize
Arizona,No,Premium,College,,F,Suburban,Single,Personal Auto,Personal L3,Offer1,Call Center,Four-Door Car,Large
Oregon,No,Extended,Master,,F,Suburban,Married,Personal Auto,Personal L3,Offer2,Branch,Four-Door Car,Small
Arizona,No,Basic,College,,M,Suburban,Married,Personal Auto,Personal L2,Offer4,Call Center,Four-Door Car,Small
Nevada,No,Extended,High School or Below,,M,Urban,Married,Corporate Auto,Corporate L2,Offer2,Agent,Luxury,Medsize
California,No,Basic,Bachelor,,M,Urban,Married,Personal Auto,Personal L3,Offer1,Call Center,Four-Door Car,Medsize
Washington,No,Basic,Bachelor,,M,Suburban,Married,Corporate Auto,Corporate L2,Offer1,Agent,Two-Door Car,Small
Oregon,No,Basic,Bachelor,,F,Rural,Married,Corporate Auto,Corporate L1,Offer3,Web,Four-Door Car,Medsize
Arizona,No,Basic,High School or Below,,F,Urban,Married,Personal Auto,Personal L1,Offer1,Branch,Four-Door Car,Medsize
California,No,Premium,Bachelor,,M,Suburban,Married,Personal Auto,Personal L3,Offer1,Agent,Four-Door Car,Small
Oregon,No,Extended,Master,,F,Suburban,Married,Personal Auto,Personal L3,Offer2,Web,Four-Door Car,Small
Oregon,No,Extended,Bachelor,,M,Suburban,Single,Personal Auto,Personal L2,Offer3,Agent,Two-Door Car,Small
Arizona,No,Basic,High School or Below,,M,Rural,Divorced,Personal Auto,Personal L3,Offer1,Call Center,Four-Door Car,Medsize
Nevada,No,Basic,High School or Below,,F,Suburban,Married,Corporate Auto,Corporate L3,Offer3,Call Center,Two-Door Car,Medsize
Oregon,Yes,Basic,College,,F,Rural,Single,Corporate Auto,Corporate L3,Offer2,Agent,Two-Door Car,Medsize
California,Yes,Extended,Bachelor,,F,Suburban,Married,Personal Auto,Personal L2,Offer2,Agent,Four-Door Car,Small
Arizona,No,Basic,High School or Below,,M,Suburban,Married,Personal Auto,Personal L2,Offer4,Agent,Luxury,Medsize
Washington,No,Basic,College,,M,Suburban,Married,Special Auto,Special L2,Offer2,Call Center,Four-Door Car,Large
Oregon,No,Premium,Doctor,Not Working,F,Rural,Married,Personal Auto,Personal L2,Offer1,Branch,SUV,Medsize
Arizona,No,Basic,Bachelor,,M,Suburban,Single,Personal Auto,Personal L3,Offer3,Call Center,Four-Door Car,Medsize
Oregon,No,Basic,High School or Below,,F,Suburban,Single,Personal Auto,Personal L2,Offer4,Agent,Two-Door Car,Medsize
California,No,Extended,Bachelor,,F,Suburban,Married,Corporate Auto,Corporate L2,Offer2,Call Center,Four-Door Car,Medsize
Arizona,No,Basic,High School or Below,,F,Suburban,Married,Personal Auto,Personal L2,Offer4,Branch,Four-Door Car,Medsize
Oregon,No,Basic,College,,M,Suburban,Married,Personal Auto,Personal L2,Offer1,Agent,SUV,Small
California,Yes,Basic,Bachelor,,F,Suburban,Divorced,Corporate Auto,Corporate L1,Offer1,Web,SUV,Medsize
Nevada,No,Basic,High School or Below,,F,Rural,Married,Special Auto,Special L1,Offer4,Branch,Four-Door Car,Medsize
Washington,No,Basic,Bachelor,,M,Suburban,Single,Personal Auto,Personal L3,Offer4,Agent,Four-Door Car,Medsize
California,No,Premium,Bachelor,Not Working,M,Suburban,Married,Personal Auto,Personal L2,Offer1,Branch,Four-Door Car,Small
Arizona,No,Extended,College,,F,Suburban,Divorced,Corporate Auto,Corporate L3,Offer3,Call Center,Four-Door Car,Small
California,No,Basic,College,,M,Urban,Married,Special Auto,Special L2,Offer2,Branch,Four-Door Car,Medsize
Arizona,No,Basic,High School or Below,,F,Suburban,Married,Personal Auto,Personal L2,Offer1,Call Center,SUV,Small
Oregon,No,Extended,High School or Below,Not Working,F,Suburban,Divorced,Personal Auto,Personal L3,Offer1,Call Center,SUV,Medsize
Oregon,No,Premium,Master,Not Working,F,Suburban,Divorced,Personal Auto,Personal L1,Offer1,Agent,Four-Door Car,Medsize
Arizona,Yes,Basic,Bachelor,Not Working,M,Suburban,Divorced,Personal Auto,Personal L1,Offer1,Agent,Four-Door Car,Medsize
California,No,Premium,Bachelor,Not Working,F,Suburban,Married,Personal Auto,Personal L3,Offer1,Call Center,Two-Door Car,Small
Oregon,No,Extended,Bachelor,,M,Suburban,Single,Personal Auto,Personal L3,Offer1,Agent,Two-Door Car,Small
California,No,Basic,High School or Below,,F,Rural,Married,Personal Auto,Personal L3,Offer1,Agent,SUV,Medsize
Arizona,No,Basic,Bachelor,,F,Suburban,Single,Personal Auto,Personal L3,Offer3,Branch,Four-Door Car,Large
Washington,No,Basic,College,,M,Suburban,Married,Personal Auto,Personal L3,Offer3,Web,Four-Door Car,Medsize
Oregon,No,Basic,College,,F,Suburban,Divorced,Corporate Auto,Corporate L3,Offer1,Agent,SUV,Medsize
Arizona,No,Extended,High School or Below,,F,Urban,Married,Personal Auto,Personal L3,Offer4,Branch,Two-Door Car,Small
Oregon,Yes,Extended,Bachelor,,F,Suburban,Divorced,Personal Auto,Personal L3,Offer1,Call Center,Two-Door Car,Large
California,No,Premium,College,Not Working,F,Suburban,Married,Personal Auto,Personal L3,Offer3,Web,Four-Door Car,Medsize
Oregon,No,Basic,High School or Below,,M,Rural,Divorced,Personal Auto,Personal L3,Offer4,Agent,SUV,Medsize
Oregon,No,Basic,Master,,M,Rural,Married,Personal Auto,Personal L2,Offer2,Web,Two-Door Car,Large
Oregon,No,Basic,Master,Not Working,M,Suburban,Married,Personal Auto,Personal L1,Offer1,Agent,Four-Door Car,Medsize
Oregon,No,Basic,Bachelor,,M,Suburban,Single,Personal Auto,Personal L3,Offer1,Agent,Luxury,Medsize
Oregon,Yes,Basic,Bachelor,,M,Suburban,Divorced,Personal Auto,Personal L3,Offer2,Branch,Two-Door Car,Medsize
Oregon,No,Basic,Bachelor,,M,Suburban,Married,Personal Auto,Personal L3,Offer2,Branch,Four-Door Car,Small
Oregon,No,Basic,High School or Below,,F,Rural,Single,Personal Auto,Personal L1,Offer2,Call Center,Four-Door Car,Medsize
Nevada,No,Basic,College,,M,Suburban,Married,Personal Auto,Personal L1,Offer2,Agent,Four-Door Car,Medsize
Washington,No,Extended,College,,M,Rural,Married,Personal Auto,Personal L3,Offer1,Agent,Four-Door Car,Medsize
California,No,Basic,Bachelor,,M,Rural,Single,Personal Auto,Personal L3,Offer2,Branch,Luxury,Small
California,No,Extended,College,,F,Rural,Single,Personal Auto,Personal L3,Offer3,Branch,Two-Door Car,Large
California,Yes,Basic,High School or Below,,M,Suburban,Single,Personal Auto,Personal L3,Offer2,Call Center,Four-Door Car,Medsize
California,No,Basic,Doctor,,M,Suburban,Married,Personal Auto,Personal L1,Offer3,Branch,SUV,Medsize
Nevada,No,Basic,Master,,M,Suburban,Married,Personal Auto,Personal L3,Offer2,Call Center,Four-Door Car,Large
Oregon,No,Extended,College,Not Working,F,Suburban,Single,Personal Auto,Personal L3,Offer2,Agent,Four-Door Car,Small
Washington,No,Basic,High School or Below,,M,Suburban,Married,Personal Auto,Personal L2,Offer1,Call Center,Four-Door Car,Medsize
California,Yes,Extended,College,Not Working,M,Suburban,Married,Personal Auto,Personal L1,Offer1,Agent,Four-Door Car,Medsize
California,No,Basic,Bachelor,,F,Urban,Married,Corporate Auto,Corporate L2,Offer3,Web,Four-Door Car,Medsize
Oregon,No,Basic,Bachelor,,F,Suburban,Divorced,Personal Auto,Personal L2,Offer3,Branch,Four-Door Car,Medsize
California,Yes,Extended,College,,M,Suburban,Married,Personal Auto,Personal L3,Offer1,Branch,Four-Door Car,Medsize
Oregon,No,Premium,College,Not Working,M,Suburban,Married,Personal Auto,Personal L3,Offer2,Branch,Two-Door Car,Small
Washington,Yes,Extended,Bachelor,,F,Suburban,Married,Corporate Auto,Corporate L3,Offer2,Call Center,Two-Door Car,Medsize
Oregon,No,Basic,Bachelor,,F,Rural,Married,Corporate Auto,Corporate L3,Offer1,Agent,Four-Door Car,Medsize
Oregon,No,Basic,Bachelor,,M,Suburban,Married,Corporate Auto,Corporate L1,Offer1,Branch,Two-Door Car,Small
California,No,Extended,High School or Below,,F,Suburban,Single,Personal Auto,Personal L2,Offer1,Agent,Four-Door Car,Medsize
Oregon,No,Basic,Bachelor,,F,Suburban,Married,Personal Auto,Personal L3,Offer1,Branch,Four-Door Car,Large
Arizona,No,Basic,Master,Not Working,F,Rural,Married,Personal Auto,Personal L3,Offer1,Branch,SUV,Medsize
California,No,Basic,Bachelor,Not Working,M,Suburban,Married,Personal Auto,Personal L2,Offer1,Agent,Four-Door Car,Medsize
Arizona,No,Basic,Bachelor,,F,Urban,Married,Personal Auto,Personal L1,Offer3,Web,Four-Door Car,Medsize
Oregon,No,Extended,College,,M,Suburban,Married,Personal Auto,Personal L2,Offer1,Agent,Two-Door Car,Small
California,Yes,Basic,College,,F,Suburban,Married,Personal Auto,Personal L3,Offer1,Agent,SUV,Medsize
California,Yes,Basic,College,,M,Suburban,Single,Personal Auto,Personal L1,Offer1,Branch,Four-Door Car,Medsize
Oregon,No,Basic,Bachelor,,M,Rural,Single,Corporate Auto,Corporate L3,Offer3,Call Center,Two-Door Car,Medsize
California,Yes,Premium,College,,M,Suburban,Married,Personal Auto,Personal L3,Offer2,Branch,Four-Door Car,Medsize
California,No,Extended,High School or Below,,F,Suburban,Single,Personal Auto,Personal L3,Offer1,Web,SUV,Medsize
Oregon,No,Extended,Bachelor,,F,Rural,Married,Personal Auto,Personal L3,Offer1,Call Center,Four-Door Car,Small
California,No,Basic,Bachelor,,F,Rural,Married,Personal Auto,Personal L1,Offer3,Branch,Four-Door Car,Medsize
Oregon,No,Basic,High School or Below,,M,Suburban,Married,Personal Auto,Personal L1,Offer1,Agent,SUV,Medsize
California,No,Basic,Bachelor,,F,Rural,Married,Personal Auto,Personal L3,Offer1,Agent,Two-Door Car,Medsize
Oregon,No,Basic,College,,M,Urban,Married,Corporate Auto,Corporate L1,Offer4,Agent,Four-Door Car,Medsize
California,No,Extended,College,,M,Suburban,Married,Personal Auto,Personal L3,Offer4,Agent,Four-Door Car,Small
Washington,No,Extended,High School or Below,,M,Suburban,Divorced,Corporate Auto,Corporate L2,Offer2,Web,Four-Door Car,Small
Arizona,No,Basic,College,,M,Suburban,Married,Personal Auto,Personal L3,Offer2,Branch,SUV,Medsize
Oregon,No,Basic,Bachelor,,M,Suburban,Single,Personal Auto,Personal L3,Offer1,Agent,Four-Door Car,Medsize
Washington,No,Basic,High School or Below,,M,Suburban,Married,Personal Auto,Personal L2,Offer4,Branch,Four-Door Car,Medsize
California,No,Basic,High School or Below,,M,Suburban,Married,Corporate Auto,Corporate L2,Offer1,Agent,SUV,Medsize
Oregon,Yes,Extended,High School or Below,Not Working,M,Suburban,Divorced,Personal Auto,Personal L3,Offer2,Agent,SUV,Medsize
Arizona,No,Extended,High School or Below,,M,Suburban,Married,Personal Auto,Personal L3,Offer2,Branch,Two-Door Car,Medsize
California,No,Basic,Bachelor,,F,Suburban,Single,Personal Auto,Personal L2,Offer3,Agent,Two-Door Car,Medsize
California,No,Extended,College,,F,Urban,Married,Corporate Auto,Corporate L2,Offer2,Call Center,Four-Door Car,Medsize
Washington,No,Extended,College,,M,Suburban,Married,Personal Auto,Personal L2,Offer3,Web,Two-Door Car,Medsize
California,No,Basic,Bachelor,,M,Rural,Married,Personal Auto,Personal L3,Offer1,Call Center,Luxury,Medsize
Oregon,No,Basic,High School or Below,,F,Suburban,Married,Personal Auto,Personal L3,Offer3,Branch,Two-Door Car,Small
California,No,Basic,High School or Below,,M,Suburban,Single,Personal Auto,Personal L3,Offer3,Web,Luxury,Medsize
Nevada,No,Basic,Bachelor,,F,Rural,Married,Personal Auto,Personal L3,Offer1,Agent,Four-Door Car,Medsize
Oregon,No,Premium,College,,M,Suburban,Divorced,Personal Auto,Personal L2,Offer1,Call Center,Four-Door Car,Medsize
Oregon,No,Extended,Master,,F,Rural,Single,Personal Auto,Personal L3,Offer2,Branch,Four-Door Car,Medsize
Arizona,No,Extended,College,,M,Urban,Married,Special Auto,Special L2,Offer1,Branch,Four-Door Car,Medsize
Oregon,Yes,Basic,College,Not Working,M,Suburban,Divorced,Personal Auto,Personal L2,Offer2,Web,Four-Door Car,Medsize
Washington,No,Basic,Master,,F,Rural,Married,Personal Auto,Personal L1,Offer2,Agent,Four-Door Car,Medsize
Arizona,No,Basic,High School or Below,,M,Suburban,Married,Personal Auto,Personal L3,Offer1,Agent,Luxury,Medsize
Nevada,No,Basic,Bachelor,,F,Rural,Married,Special Auto,Special L2,Offer1,Branch,Four-Door Car,Medsize
Oregon,No,Basic,Bachelor,,F,Urban,Married,Personal Auto,Personal L3,Offer1,Call Center,Four-Door Car,Medsize
Arizona,No,Premium,College,,M,Suburban,Married,Personal Auto,Personal L3,Offer1,Agent,Four-Door Car,Small
Arizona,No,Basic,High School or Below,,F,Suburban,Single,Corporate Auto,Corporate L2,Offer1,Web,Four-Door Car,Small
Arizona,No,Basic,High School or Below,,M,Suburban,Single,Personal Auto,Personal L3,Offer1,Agent,SUV,Medsize
Oregon,No,Basic,High School or Below,,F,Rural,Married,Special Auto,Special L2,Offer1,Branch,Luxury,Medsize
Washington,No,Basic,College,,F,Suburban,Single,Personal Auto,Personal L2,Offer2,Agent,Four-Door Car,Small
Oregon,No,Extended,College,,F,Urban,Married,Personal Auto,Personal L3,Offer4,Branch,Four-Door Car,Medsize
Arizona,No,Extended,Bachelor,,F,Urban,Single,Special Auto,Special L3,Offer3,Branch,Four-Door Car,Small
Oregon,No,Basic,College,,M,Suburban,Single,Personal Auto,Personal L1,Offer4,Web,Two-Door Car,Large
Arizona,No,Premium,Master,,M,Urban,Married,Personal Auto,Personal L2,Offer1,Call Center,SUV,Medsize
California,No,Extended,High School or Below,,F,Suburban,Single,Personal Auto,Personal L2,Offer3,Branch,Luxury,Medsize
Washington,No,Premium,High School or Below,,M,Suburban,Married,Corporate Auto,Corporate L3,Offer3,Agent,SUV,Medsize
Oregon,Yes,Extended,High School or Below,,F,Suburban,Married,Personal Auto,Personal L1,Offer1,Agent,Four-Door Car,Large
Nevada,No,Extended,Bachelor,,M,Urban,Married,Corporate Auto,Corporate L2,Offer4,Web,Four-Door Car,Medsize
California,No,Basic,College,,F,Suburban,Married,Corporate Auto,Corporate L3,Offer1,Call Center,Four-Door Car,Medsize
Arizona,No,Basic,Bachelor,,F,Suburban,Divorced,Corporate Auto,Corporate L2,Offer1,Call Center,Two-Door Car,Medsize
Arizona,No,Extended,High School or Below,,F,Rural,Married,Personal Auto,Personal L3,Offer2,Web,Four-Door Car,Medsize
Oregon,Yes,Premium,College,,M,Suburban,Married,Corporate Auto,Corporate L2,Offer1,Branch,Four-Door Car,Large
Washington,No,Basic,Bachelor,,M,Suburban,Single,Personal Auto,Personal L2,Offer4,Branch,Four-Door Car,Small
Washington,Yes,Basic,High School or Below,,M,Rural,Married,Personal Auto,Personal L3,Offer2,Agent,Luxury,Medsize
Arizona,No,Extended,High School or Below,Not Working,M,Suburban,Married,Personal Auto,Personal L3,Offer4,Agent,SUV,Medsize
Arizona,No,Extended,Bachelor,Not Working,F,Rural,Married,Personal Auto,Personal L1,Offer1,Branch,SUV,Medsize
California,No,Basic,Bachelor,,F,Urban,Single,Personal Auto,Personal L3,Offer2,Branch,Four-Door Car,Medsize
California,No,Basic,High School or Below,,M,Suburban,Married,Personal Auto,Personal L2,Offer2,Web,Four-Door Car,Small
Oregon,No,Extended,College,,M,Rural,Single,Personal Auto,Personal L2,Offer3,Agent,Four-Door Car,Medsize
Oregon,No,Extended,Bachelor,,F,Suburban,Married,Personal Auto,Personal L2,Offer2,Agent,Four-Door Car,Small
Arizona,Yes,Basic,College,Not Working,M,Suburban,Married,Personal Auto,Personal L3,Offer2,Agent,Luxury,Medsize
Arizona,No,Basic,Bachelor,,F,Rural,Married,Personal Auto,Personal L2,Offer1,Web,Two-Door Car,Large
California,No,Basic,High School or Below,,M,Suburban,Married,Corporate Auto,Corporate L3,Offer2,Agent,Two-Door Car,Medsize
Washington,No,Basic,College,,F,Urban,Married,Personal Auto,Personal L1,Offer1,Agent,SUV,Medsize
California,Yes,Basic,College,,F,Suburban,Divorced,Personal Auto,Personal L3,Offer1,Agent,SUV,Medsize
Washington,Yes,Basic,Bachelor,Not Working,F,Suburban,Single,Personal Auto,Personal L1,Offer1,Branch,Four-Door Car,Medsize
California,No,Extended,Bachelor,,M,Suburban,Single,Personal Auto,Personal L3,Offer1,Agent,Four-Door Car,Medsize
Oregon,No,Basic,Master,Not Working,M,Suburban,Married,Personal Auto,Personal L3,Offer1,Agent,Four-Door Car,Small
California,No,Basic,Bachelor,,F,Suburban,Single,Personal Auto,Personal L3,Offer1,Agent,Four-Door Car,Small
California,Yes,Basic,High School or Below,,F,Suburban,Single,Personal Auto,Personal L1,Offer1,Agent,Four-Door Car,Small
Oregon,No,Extended,High School or Below,,F,Urban,Divorced,Personal Auto,Personal L2,Offer3,Agent,Four-Door Car,Medsize
California,No,Basic,High School or Below,,F,Suburban,Married,Personal Auto,Personal L2,Offer1,Agent,Four-Door Car,Medsize
California,No,Basic,College,Not Working,M,Suburban,Married,Personal Auto,Personal L1,Offer4,Branch,Four-Door Car,Medsize
Oregon,No,Premium,Doctor,Not Working,F,Urban,Divorced,Personal Auto,Personal L3,Offer2,Agent,Four-Door Car,Medsize
Nevada,No,Basic,College,,F,Rural,Divorced,Personal Auto,Personal L3,Offer3,Agent,Four-Door Car,Medsize
Nevada,No,Basic,College,,F,Suburban,Married,Personal Auto,Personal L2,Offer3,Agent,Four-Door Car,Small
California,Yes,Basic,High School or Below,,M,Suburban,Single,Personal Auto,Personal L2,Offer2,Call Center,Four-Door Car,Medsize
California,No,Basic,Bachelor,,F,Rural,Married,Personal Auto,Personal L2,Offer2,Call Center,Luxury,Medsize
Washington,No,Basic,College,,F,Rural,Married,Personal Auto,Personal L2,Offer2,Agent,SUV,Medsize
Arizona,No,Basic,Bachelor,,F,Urban,Married,Personal Auto,Personal L3,Offer2,Call Center,Two-Door Car,Medsize
Washington,No,Basic,College,,F,Suburban,Single,Personal Auto,Personal L3,Offer3,Web,Two-Door Car,Medsize
California,No,Basic,Bachelor,,F,Suburban,Divorced,Personal Auto,Personal L2,Offer2,Call Center,Luxury,Small
California,No,Premium,Bachelor,,F,Suburban,Married,Personal Auto,Personal L2,Offer1,Agent,Four-Door Car,Medsize
Nevada,No,Extended,Bachelor,,F,Suburban,Married,Personal Auto,Personal L3,Offer3,Branch,Luxury,Medsize
Oregon,No,Basic,High School or Below,,M,Suburban,Married,Personal Auto,Personal L2,Offer2,Branch,Four-Door Car,Large
Nevada,No,Extended,Bachelor,,M,Suburban,Single,Personal Auto,Personal L2,Offer4,Agent,Four-Door Car,Small
California,No,Basic,Bachelor,,M,Suburban,Single,Personal Auto,Personal L3,Offer1,Agent,SUV,Medsize
California,No,Basic,High School or Below,,F,Suburban,Single,Personal Auto,Personal L3,Offer3,Call Center,SUV,Small
California,No,Basic,College,,F,Suburban,Single,Corporate Auto,Corporate L3,Offer2,Branch,SUV,Medsize
Arizona,Yes,Extended,Bachelor,,F,Suburban,Married,Personal Auto,Personal L1,Offer2,Agent,SUV,Medsize
California,No,Extended,Bachelor,,F,Urban,Single,Personal Auto,Personal L1,Offer3,Branch,Four-Door Car,Medsize
Oregon,No,Extended,College,,M,Urban,Married,Personal Auto,Personal L3,Offer3,Branch,Four-Door Car,Medsize
California,No,Basic,Master,,M,Urban,Married,Special Auto,Special L2,Offer4,Web,SUV,Medsize
California,No,Basic,High School or Below,,F,Suburban,Single,Special Auto,Special L3,Offer4,Branch,Two-Door Car,Small
California,No,Basic,Bachelor,,M,Suburban,Married,Personal Auto,Personal L3,Offer2,Branch,Two-Door Car,Medsize
Oregon,No,Basic,Bachelor,,F,Suburban,Married,Personal Auto,Personal L2,Offer4,Agent,Two-Door Car,Small
Arizona,No,Basic,High School or Below,,F,Suburban,Divorced,Personal Auto,Personal L2,Offer1,Branch,Four-Door Car,Small
Washington,No,Extended,Bachelor,,F,Suburban,Married,Personal Auto,Personal L3,Offer1,Agent,Four-Door Car,Small
Oregon,No,Premium,High School or Below,,M,Suburban,Single,Corporate Auto,Corporate L3,Offer4,Web,Luxury,Medsize
Oregon,No,Basic,Bachelor,,M,Rural,Single,Special Auto,Special L3,Offer1,Branch,Four-Door Car,Medsize
Washington,No,Extended,High School or Below,,F,Suburban,Single,Personal Auto,Personal L1,Offer3,Branch,Two-Door Car,Medsize
California,Yes,Extended,College,,M,Suburban,Married,Personal Auto,Personal L1,Offer1,Branch,Four-Door Car,Medsize
California,No,Premium,Master,Not Working,F,Suburban,Single,Personal Auto,Personal L1,Offer1,Call Center,SUV,Medsize
Nevada,Yes,Extended,Bachelor,Not Working,F,Suburban,Single,Personal Auto,Personal L3,Offer1,Agent,SUV,Medsize
Arizona,No,Basic,High School or Below,,F,Suburban,Married,Corporate Auto,Corporate L1,Offer2,Call Center,Four-Door Car,Medsize
California,No,Basic,College,,M,Suburban,Single,Personal Auto,Personal L2,Offer1,Agent,SUV,Medsize
California,No,Basic,High School or Below,,M,Suburban,Single,Personal Auto,Personal L2,Offer1,Call Center,Four-Door Car,Medsize
California,No,Basic,College,,M,Suburban,Single,Personal Auto,Personal L2,Offer1,Agent,SUV,Medsize
California,No,Basic,College,,F,Urban,Married,Personal Auto,Personal L1,Offer2,Branch,Four-Door Car,Medsize
California,No,Premium,College,,M,Suburban,Married,Corporate Auto,Corporate L2,Offer1,Branch,SUV,Small
Oregon,No,Basic,High School or Below,,F,Suburban,Divorced,Corporate Auto,Corporate L3,Offer2,Agent,SUV,Medsize
Washington,No,Extended,Bachelor,,F,Rural,Married,Personal Auto,Personal L3,Offer3,Web,Four-Door Car,Medsize
California,No,Extended,High School or Below,,M,Suburban,Single,Personal Auto,Personal L3,Offer2,Agent,Two-Door Car,Small
California,Yes,Basic,College,Not Working,M,Suburban,Single,Special Auto,Special L3,Offer1,Agent,Four-Door Car,Medsize
Washington,No,Extended,College,,M,Urban,Married,Corporate Auto,Corporate L3,Offer2,Web,Two-Door Car,Small
California,No,Basic,High School or Below,,F,Urban,Single,Special Auto,Special L3,Offer1,Agent,Four-Door Car,Medsize
Arizona,No,Basic,College,,M,Suburban,Divorced,Personal Auto,Personal L1,Offer4,Agent,Four-Door Car,Small
Oregon,No,Extended,College,,F,Suburban,Married,Corporate Auto,Corporate L1,Offer4,Call Center,Four-Door Car,Large
Oregon,No,Premium,College,,M,Urban,Married,Corporate Auto,Corporate L3,Offer4,Agent,Luxury,Small
Oregon,Yes,Extended,High School or Below,Not Working,F,Suburban,Married,Special Auto,Special L3,Offer1,Agent,Two-Door Car,Small
Washington,Yes,Basic,High School or Below,,F,Suburban,Divorced,Personal Auto,Personal L3,Offer1,Web,Luxury,Medsize
California,No,Basic,College,,M,Suburban,Married,Personal Auto,Personal L1,Offer2,Branch,Four-Door Car,Medsize
Oregon,No,Basic,Bachelor,,F,Suburban,Married,Personal Auto,Personal L2,Offer3,Branch,Four-Door Car,Medsize
California,No,Basic,Bachelor,,M,Suburban,Divorced,Personal Auto,Personal L2,Offer1,Call Center,Four-Door Car,Medsize
Nevada,No,Basic,High School or Below,,M,Suburban,Divorced,Personal Auto,Personal L1,Offer1,Call Center,Four-Door Car,Small
Washington,Yes,Extended,High School or Below,,M,Suburban,Single,Personal Auto,Personal L3,Offer2,Branch,Two-Door Car,Small
Oregon,No,Basic,College,Not Working,F,Suburban,Married,Personal Auto,Personal L3,Offer2,Call Center,SUV,Small
Oregon,No,Extended,College,,F,Suburban,Married,Personal Auto,Personal L3,Offer3,Branch,Four-Door Car,Medsize
Nevada,No,Basic,College,,M,Suburban,Single,Personal Auto,Personal L1,Offer1,Branch,Two-Door Car,Medsize
Nevada,Yes,Basic,High School or Below,,F,Rural,Single,Corporate Auto,Corporate L3,Offer2,Agent,Four-Door Car,Medsize
Arizona,No,Basic,High School or Below,,M,Urban,Married,Corporate Auto,Corporate L3,Offer1,Agent,SUV,Small
California,No,Basic,Bachelor,Not Working,M,Suburban,Married,Corporate Auto,Corporate L1,Offer1,Agent,Four-Door Car,Small
